5008,41,156,1479,1031
5009,83,156,1478,1242
5012,27,136,765,1071
5013,34,156,431,374
5014,33,156,66,116
5022,25,57,1351,876
5023,38,155,705,1253
5025,53,156,472,1265
5026,110,156,338,1128
5034,47,129,641,1252
5036,80,156,469,1204
5037,98,156,251,1135
5044,22,110,1402,963
5045,50,116,1324,1093
5046,60,156,1160,367
5047,67,156,1188,387
5048,74,156,1216,412
5049,81,156,1241,427
5050,88,156,1265,455
5056,22,123,1299,794
5057,39,150,1282,849
5058,42,146,1279,861
5059,47,115,1280,904
5060,32,140,1032,296
5061,37,125,1055,304
5062,45,130,1095,327
5063,52,136,1125,341
5066,22,131,1170,1081
5067,27,151,1466,974
5068,48,156,1479,1064
5069,64,156,1477,1141
5076,23,56,593,753
5077,23,74,455,515
5088,29,88,479,519
5099,54,107,598,717
5100,24,123,63,140
5101,32,138,121,102
5102,110,156,637,657
5106,22,152,1442,963
5107,85,156,1440,1251
5112,69,155,1343,1175
5113,56,156,1480,1102
5114,71,156,1478,1177
